,filename,height,width,x1,y1,x2,y2,x3,y3,x4,y4,x1_new,y1_new,x2_new,y2_new,x3_new,y3_new,x4_new,y4_new,resizedfilename
0,D:/generated_image/32853-identifyCardReverse_DSC_0013__0.png,777,589,85,23,528,36,521,762,50,744,4,0,28,1,28,31,2,30,32853-identifyCardReverse_DSC_0013__0.png
1,D:/generated_image/32853-identifyCardReverse_DSC_0013__1.png,824,653,150,30,590,81,520,804,52,746,7,1,28,3,25,31,2,28,32853-identifyCardReverse_DSC_0013__1.png
2,D:/generated_image/32853-identifyCardReverse_DSC_0013__2.png,863,711,213,35,646,125,514,838,53,739,9,1,29,4,23,31,2,27,32853-identifyCardReverse_DSC_0013__2.png
3,D:/generated_image/32853-identifyCardReverse_DSC_0013__3.png,897,765,275,41,699,168,504,868,54,729,11,1,29,5,21,30,2,26,32853-identifyCardReverse_DSC_0013__3.png
4,D:/generated_image/32853-identifyCardReverse_DSC_0013__4.png,923,812,335,46,746,210,491,890,55,712,13,1,29,7,19,30,2,24,32853-identifyCardReverse_DSC_0013__4.png
5,D:/generated_image/32853-identifyCardReverse_DSC_0013__5.png,942,854,392,51,788,251,475,906,55,691,14,1,29,8,17,30,2,23,32853-identifyCardReverse_DSC_0013__5.png
6,D:/generated_image/32854-identifyCardReverse_DSC_0013__0.png,1940,2936,177,90,2708,186,2678,1783,114,1710,1,1,29,3,29,29,1,28,32854-identifyCardReverse_DSC_0013__0.png
7,D:/generated_image/32854-identifyCardReverse_DSC_0013__1.png,2183,3085,332,102,2846,418,2677,2006,129,1710,3,1,29,6,27,29,1,25,32854-identifyCardReverse_DSC_0013__1.png
8,D:/generated_image/32854-identifyCardReverse_DSC_0013__2.png,2409,3211,486,113,2963,647,2656,2215,143,1698,4,1,29,8,26,29,1,22,32854-identifyCardReverse_DSC_0013__2.png
9,D:/generated_image/32854-identifyCardReverse_DSC_0013__3.png,2617,3312,637,123,3057,872,2615,2406,157,1672,6,1,29,10,25,29,1,20,32854-identifyCardReverse_DSC_0013__3.png
10,D:/generated_image/32854-identifyCardReverse_DSC_0013__4.png,2805,3388,782,133,3128,1090,2553,2580,169,1634,7,1,29,12,24,29,1,18,32854-identifyCardReverse_DSC_0013__4.png
11,D:/generated_image/32854-identifyCardReverse_DSC_0013__5.png,2971,3438,921,141,3175,1299,2472,2733,179,1583,8,1,29,13,23,29,1,17,32854-identifyCardReverse_DSC_0013__5.png
12,D:/generated_image/32856-identifyCardReverse_DSC_0013__0.png,403,682,50,28,567,46,627,362,39,367,2,2,26,3,29,28,1,29,32856-identifyCardReverse_DSC_0013__0.png
13,D:/generated_image/32856-identifyCardReverse_DSC_0013__1.png,460,713,82,33,595,96,627,415,40,369,3,2,26,6,28,28,1,25,32856-identifyCardReverse_DSC_0013__1.png
14,D:/generated_image/32856-identifyCardReverse_DSC_0013__2.png,513,738,113,35,619,143,622,464,42,367,4,2,26,8,26,28,1,22,32856-identifyCardReverse_DSC_0013__2.png
15,D:/generated_image/32856-identifyCardReverse_DSC_0013__3.png,563,757,142,39,637,190,612,510,43,363,6,2,26,10,25,28,1,20,32856-identifyCardReverse_DSC_0013__3.png
16,D:/generated_image/32856-identifyCardReverse_DSC_0013__4.png,608,771,171,42,651,236,598,553,44,357,7,2,27,12,24,29,1,18,32856-identifyCardReverse_DSC_0013__4.png
17,D:/generated_image/32856-identifyCardReverse_DSC_0013__5.png,648,779,199,45,660,280,580,590,44,347,8,2,27,13,23,29,1,17,32856-identifyCardReverse_DSC_0013__5.png
18,D:/generated_image/32857-identifyCardReverse_DSC_0013__0.png,613,810,39,43,785,78,781,540,17,539,1,2,31,4,30,28,0,28,32857-identifyCardReverse_DSC_0013__0.png
19,D:/generated_image/32857-identifyCardReverse_DSC_0013__1.png,680,858,87,46,827,146,784,606,23,538,3,2,30,6,29,28,0,25,32857-identifyCardReverse_DSC_0013__1.png
20,D:/generated_image/32857-identifyCardReverse_DSC_0013__2.png,741,899,134,47,862,212,779,666,27,532,4,2,30,9,27,28,0,22,32857-identifyCardReverse_DSC_0013__2.png
21,D:/generated_image/32857-identifyCardReverse_DSC_0013__3.png,797,934,182,49,893,276,770,722,32,522,6,1,30,11,26,28,1,20,32857-identifyCardReverse_DSC_0013__3.png
22,D:/generated_image/32857-identifyCardReverse_DSC_0013__4.png,846,961,226,51,915,339,753,772,36,509,7,1,30,12,25,29,1,19,32857-identifyCardReverse_DSC_0013__4.png
23,D:/generated_image/32857-identifyCardReverse_DSC_0013__5.png,889,982,271,51,931,398,733,815,41,491,8,1,30,14,23,29,1,17,32857-identifyCardReverse_DSC_0013__5.png
24,D:/generated_image/32858-identifyCardReverse_DSC_0013__0.png,1458,1104,80,18,956,42,941,1395,83,1411,2,0,27,0,27,30,2,30,32858-identifyCardReverse_DSC_0013__0.png
25,D:/generated_image/32858-identifyCardReverse_DSC_0013__1.png,1545,1224,204,23,1074,123,941,1470,85,1411,5,0,28,2,24,30,2,29,32858-identifyCardReverse_DSC_0013__1.png
26,D:/generated_image/32858-identifyCardReverse_DSC_0013__2.png,1619,1334,326,27,1184,203,934,1533,86,1399,7,0,28,4,22,30,2,27,32858-identifyCardReverse_DSC_0013__2.png
27,D:/generated_image/32858-identifyCardReverse_DSC_0013__3.png,1681,1435,445,31,1285,281,920,1584,87,1377,9,0,28,5,20,30,1,26,32858-identifyCardReverse_DSC_0013__3.png
28,D:/generated_image/32858-identifyCardReverse_DSC_0013__4.png,1731,1524,562,35,1376,358,899,1624,87,1345,11,0,28,6,18,30,1,24,32858-identifyCardReverse_DSC_0013__4.png
29,D:/generated_image/32858-identifyCardReverse_DSC_0013__5.png,1767,1601,673,39,1456,432,871,1651,86,1303,13,0,29,7,17,29,1,23,32858-identifyCardReverse_DSC_0013__5.png
30,D:/generated_image/32860-identifyCardReverse_DSC_0013__0.png,503,756,53,29,718,37,729,463,33,461,2,1,30,2,30,29,1,29,32860-identifyCardReverse_DSC_0013__0.png
31,D:/generated_image/32860-identifyCardReverse_DSC_0013__1.png,566,795,93,33,755,100,728,524,35,463,3,1,30,5,29,29,1,26,32860-identifyCardReverse_DSC_0013__1.png
32,D:/generated_image/32860-identifyCardReverse_DSC_0013__2.png,624,827,132,37,785,161,722,581,36,459,5,1,30,8,27,29,1,23,32860-identifyCardReverse_DSC_0013__2.png
33,D:/generated_image/32860-identifyCardReverse_DSC_0013__3.png,678,854,171,40,811,221,711,634,39,453,6,1,30,10,26,29,1,21,32860-identifyCardReverse_DSC_0013__3.png
34,D:/generated_image/32860-identifyCardReverse_DSC_0013__4.png,726,874,208,43,830,279,694,682,40,443,7,1,30,12,25,30,1,19,32860-identifyCardReverse_DSC_0013__4.png
35,D:/generated_image/32860-identifyCardReverse_DSC_0013__5.png,769,887,243,45,842,334,671,724,41,429,8,1,30,13,24,30,1,17,32860-identifyCardReverse_DSC_0013__5.png
36,D:/generated_image/32861-identifyCardReverse_DSC_0013__0.png,1944,1473,135,173,1164,201,1155,1777,156,1804,2,2,25,3,25,29,3,29,32861-identifyCardReverse_DSC_0013__0.png
37,D:/generated_image/32861-identifyCardReverse_DSC_0013__1.png,2060,1632,287,182,1310,299,1163,1868,165,1809,5,2,25,4,22,29,3,28,32861-identifyCardReverse_DSC_0013__1.png
38,D:/generated_image/32861-identifyCardReverse_DSC_0013__2.png,2159,1779,436,188,1445,394,1161,1944,173,1798,7,2,25,5,20,28,3,26,32861-identifyCardReverse_DSC_0013__2.png
39,D:/generated_image/32861-identifyCardReverse_DSC_0013__3.png,2242,1913,583,194,1569,487,1152,2007,180,1775,9,2,26,6,19,28,3,25,32861-identifyCardReverse_DSC_0013__3.png
